id_municipio,uf,municipio,longitude,latitude,file_name
2,AC,Acrelândia,-66.897166,-9.825808,acrelandia_ac.png
3,AC,Assis Brasil,-69.573794,-10.929765,assis_brasil_ac.png
4,AC,Brasiléia,-68.749696,-10.994994,brasileia_ac.png
5,AC,Bujari,-67.955029,-9.815277,bujari_ac.png
6,AC,Capixaba,-67.686006,-10.566031,capixaba_ac.png
7,AC,Cruzeiro do Sul,-72.675582,-7.627625,cruzeiro_do_sul_ac.png
8,AC,Epitaciolândia,-68.734109,-11.018771,epitaciolandia_ac.png
9,AC,Feijó,-70.350973,-8.170536,feijo_ac.png
10,AC,Jordão,-71.897391,-9.430912,jordao_ac.png
12,AC,Manoel Urbano,-69.267862,-8.832911,manoel_urbano_ac.png
13,AC,Marechal Thaumaturgo,-72.799704,-8.938983,marechal_thaumaturgo_ac.png
11,AC,Mâncio Lima,-72.899708,-7.616575,mancio_lima_ac.png
14,AC,Plácido de Castro,-67.137133,-10.28064,placido_de_castro_ac.png
15,AC,Porto Acre,-67.547815,-9.581378,porto_acre_ac.png
16,AC,Porto Walter,-72.753747,-8.263233,porto_walter_ac.png
17,AC,Rio Branco,-67.824348,-9.97499,rio_branco_ac.png
18,AC,Rodrigues Alves,-72.661015,-7.738638,rodrigues_alves_ac.png
19,AC,Santa Rosa do Purus,-70.49025,-9.446515,santa_rosa_do_purus_ac.png
21,AC,Sena Madureira,-68.671278,-9.063499,sena_madureira_ac.png
20,AC,Senador Guiomard,-67.736185,-10.149686,senador_guiomard_ac.png
22,AC,Tarauacá,-70.772154,-8.156975,tarauaca_ac.png
23,AC,Xapuri,-68.496857,-10.651598,xapuri_ac.png
25,AL,Anadia,-36.307783,-9.684886,anadia_al.png
26,AL,Arapiraca,-36.661471,-9.754866,arapiraca_al.png
27,AL,Atalaia,-36.008552,-9.511898,atalaia_al.png
28,AL,Barra de Santo Antônio,-35.510083,-9.402297,barra_de_santo_antonio_al.png
29,AL,Barra de São Miguel,-35.905667,-9.83842,barra_de_sao_miguel_al.png
30,AL,Batalha,-37.133014,-9.674195,batalha_al.png
32,AL,Belo Monte,-37.277014,-9.822718,belo_monte_al.png
31,AL,Belém,-36.490399,-9.570472,belem_al.png
33,AL,Boca da Mata,-36.212498,-9.643082,boca_da_mata_al.png
34,AL,Branquinha,-36.016152,-9.23342,branquinha_al.png
35,AL,Cacimbinhas,-36.991082,-9.401212,cacimbinhas_al.png
36,AL,Cajueiro,-36.155937,-9.399402,cajueiro_al.png
37,AL,Campestre,-35.56847,-8.847228,campestre_al.png
38,AL,Campo Alegre,-36.352461,-9.784512,campo_alegre_al.png
39,AL,Campo Grande,-36.792608,-9.955423,campo_grande_al.png
40,AL,Canapi,-37.5967,-9.119319,canapi_al.png
41,AL,Capela,-36.082583,-9.415041,capela_al.png
42,AL,Carneiros,-37.377303,-9.484762,carneiros_al.png
43,AL,Chã Preta,-36.298334,-9.255605,cha_preta_al.png
44,AL,Coité do Nóia,-36.584493,-9.633484,coite_do_noia_al.png
45,AL,Colônia Leopoldina,-35.721414,-8.918058,colonia_leopoldina_al.png
46,AL,Coqueiro Seco,-35.799377,-9.637147,coqueiro_seco_al.png
47,AL,Coruripe,-36.171724,-10.127632,coruripe_al.png
48,AL,Craíbas,-36.769726,-9.617798,craibas_al.png
49,AL,Delmiro Gouveia,-37.998676,-9.385336,delmiro_gouveia_al.png
50,AL,Dois Riachos,-37.096502,-9.384645,dois_riachos_al.png
51,AL,Estrela de Alagoas,-36.764407,-9.390894,estrela_de_alagoas_al.png
52,AL,Feira Grande,-36.681521,-9.898586,feira_grande_al.png
53,AL,Feliz Deserto,-36.302788,-10.293491,feliz_deserto_al.png
54,AL,Flexeiras,-35.713933,-9.272807,flexeiras_al.png
55,AL,Girau do Ponciano,-36.831592,-9.884041,girau_do_ponciano_al.png
56,AL,Ibateguara,-35.937325,-8.978232,ibateguara_al.png
57,AL,Igaci,-36.637191,-9.537678,igaci_al.png
58,AL,Igreja Nova,-36.659705,-10.123463,igreja_nova_al.png
59,AL,Inhapi,-37.750871,-9.225936,inhapi_al.png
60,AL,Jacaré dos Homens,-37.207636,-9.635446,jacare_dos_homens_al.png
61,AL,Jacuípe,-35.459074,-8.83951,jacuipe_al.png
62,AL,Japaratinga,-35.263403,-9.087464,japaratinga_al.png
63,AL,Jaramataia,-37.004558,-9.662243,jaramataia_al.png
64,AL,Jequia Da Praia,-36.01423,-10.013268,jequia_da_praia_al.png
65,AL,Joaquim Gomes,-35.747381,-9.132805,joaquim_gomes_al.png
66,AL,Jundiá,-35.566925,-8.932968,jundia_al.png
67,AL,Junqueiro,-36.480346,-9.906961,junqueiro_al.png
68,AL,Lagoa da Canoa,-36.741257,-9.832909,lagoa_da_canoa_al.png
69,AL,Limoeiro de Anadia,-36.512097,-9.740983,limoeiro_de_anadia_al.png
70,AL,Maceió,-35.73496,-9.665985,maceio_al.png
71,AL,Major Isidoro,-36.992006,-9.530086,major_isidoro_al.png
76,AL,Mar Vermelho,-36.388076,-9.447393,mar_vermelho_al.png
72,AL,Maragogi,-35.226692,-9.007443,maragogi_al.png
73,AL,Maravilha,-37.352419,-9.230449,maravilha_al.png
74,AL,Marechal Deodoro,-35.896731,-9.709715,marechal_deodoro_al.png
75,AL,Maribondo,-36.304488,-9.583528,maribondo_al.png
77,AL,Mata Grande,-37.732298,-9.118243,mata_grande_al.png
78,AL,Matriz de Camaragibe,-35.524302,-9.154373,matriz_de_camaragibe_al.png
79,AL,Messias,-35.839182,-9.393843,messias_al.png
80,AL,Minador do Negrão,-36.869553,-9.312358,minador_do_negrao_al.png
81,AL,Monteirópolis,-37.250463,-9.603569,monteiropolis_al.png
82,AL,Murici,-35.942798,-9.306823,murici_al.png
83,AL,Novo Lino,-35.664001,-8.941905,novo_lino_al.png
86,AL,Olho d`Água Grande,-36.810082,-10.057167,olho_d`agua_grande_al.png
84,AL,Olho d`Água das Flores,-37.297093,-9.536858,olho_d`agua_das_flores_al.png
85,AL,Olho d`Água do Casado,-37.830073,-9.503573,olho_d`agua_do_casado_al.png
87,AL,Olivença,-37.195441,-9.519538,olivenca_al.png
88,AL,Ouro Branco,-37.355639,-9.158842,ouro_branco_al.png
89,AL,Palestina,-37.339037,-9.674928,palestina_al.png
90,AL,Palmeira dos Índios,-36.632812,-9.405681,palmeira_dos_indios_al.png
92,AL,Pariconha,-37.998751,-9.256342,pariconha_al.png
93,AL,Paripueira,-35.551977,-9.463133,paripueira_al.png
94,AL,Passo de Camaragibe,-35.47449,-9.24511,passo_de_camaragibe_al.png
95,AL,Paulo Jacinto,-36.367241,-9.367918,paulo_jacinto_al.png
96,AL,Penedo,-36.581905,-10.287422,penedo_al.png
97,AL,Piaçabuçu,-36.433968,-10.405989,piacabucu_al.png
98,AL,Pilar,-35.954294,-9.601348,pilar_al.png
99,AL,Pindoba,-36.291829,-9.473822,pindoba_al.png
100,AL,Piranhas,-37.756987,-9.623996,piranhas_al.png
102,AL,Porto Calvo,-35.398653,-9.051948,porto_calvo_al.png
104,AL,Porto Real do Colégio,-36.837551,-10.18489,porto_real_do_colegio_al.png
103,AL,Porto de Pedras,-35.304914,-9.160065,porto_de_pedras_al.png
101,AL,Poço das Trincheiras,-37.288932,-9.307417,poco_das_trincheiras_al.png
91,AL,Pão de Açúcar,-37.440336,-9.740325,pao_de_acucar_al.png
105,AL,Quebrangulo,-36.469239,-9.32001,quebrangulo_al.png
106,AL,Rio Largo,-35.839435,-9.477829,rio_largo_al.png
